term,tfidf
broken,3.4000242012422097
nobody,2.7541432591544748
mess,3.7217023602638544
fine,2.791759469228055
fake,3.0116845406028387
night,3.5541395488180827
dead,3.7217023602638544
worthless,3.731109021947669
empty,3.189216162042489
hurting,3.4874413231549912
stop,2.386294361119891
wanna,3.4874413231549912
tried,3.189216162042489
year,2.7541432591544748
best,2.7541432591544748
trying,2.6094379124341005
bed,3.189216162042489
anymore,2.7541432591544748
drowning,3.7217023602638544
head,3.2221110893237452
alive,3.2221110893237452
sleep,2.7541432591544748
world,2.386294361119891
felt,3.0116845406028387
dying,4.115588124753126
wonder,4.273001881852849
used,3.4000242012422097
looking,3.690078919493016
yet,4.273001881852849
getting,3.0794415416798357
happens,3.5541395488180827
around,3.9216831390820666
exist,4.80274564642807
push,4.594487978305861
please,3.0794415416798357
gone,4.115588124753126
anyway,3.690078919493016
overthinking,6.969095074714442
leave,3.811680830266447
disappear,5.441973515242829
everytime,4.594487978305861
bad,3.0794415416798357
shit,3.5541395488180827
depressed,3.4000242012422097
anxiety,3.1972245773362196
new,3.0794415416798357
ill,4.022107378987354
word,4.4241057869654
right,3.6390573296152584
notice,4.6574809846583065
yes,3.731109021947669
guess,4.35407214432629
maybe,3.2221110893237452
well,2.791759469228055
clean,7.850668649305664
single,3.9371271257930855
another,4.413813285865629
done,4.11448872446398
tomorrow,4.35407214432629
nightmare,5.157211294220701
idk,5.441973515242829
living,3.731109021947669
point,3.5541395488180827
die,3.70805020110221
cut,4.955706145770809
told,3.2221110893237452
sick,4.273001881852849
got,3.811680830266447
week,4.986441928388727
session,6.2891723492232465
therapy,6.100858376034575
self,3.731109021947669
med,7.202589129786291
hope,3.4000242012422097
tonight,6.100858376034575
probably,4.273001881852849
today,4.611677119930055
last,4.11448872446398
take,3.1972245773362196
gonna,4.863499088503723
event,5.375755568660203
tweet,4.273001881852849
totally,4.408196467550823
twitter,3.189216162042489
two,3.0116845406028387
fear,3.731109021947669
forget,3.0116845406028387
hi,6.63643729230648
thinking,3.0116845406028387
god,3.7217023602638544
human,5.688645771132633
supposed,5.157211294220701
sex,4.594487978305861
whisper,4.820409072452765
hell,3.2221110893237452
great,4.35407214432629
five,5.878445097719401
sleeping,4.35407214432629
regret,3.7217023602638544
book,6.722422818824638
society,4.408196467550823
cool,4.408196467550823
damn,3.189216162042489
milk,8.35335817836486
thank,4.820409072452765
nice,3.189216162042489
ok,2.7541432591544748
live,3.2221110893237452
emotional,4.820409072452765
except,5.878445097719401
paranoid,4.820409072452765
fed,8.764085429868707
also,6.276924667260224
online,5.878445097719401
talking,2.7541432591544748
poem,5.375755568660203
oh,3.3978952727983707
stuff,3.189216162042489
sneeze,3.8142592685777856
math,4.72767604914083
disturbed,3.8142592685777856
bro,3.8142592685777856
tryin,3.8142592685777856
coming,1.9541469694908666
boob,3.8142592685777856
sense,3.1277471639690138
hip,3.1277471639690138
isabel,3.8142592685777856
pretty,2.262844199331851
church,3.8142592685777856
baby,4.408196467550823
boy,4.72767604914083
date,4.72767604914083
song,2.262844199331851
sound,2.262844199331851
already,1.6931471805599454
choice,2.6406590740996387
body,2.4221147996601378
man,3.1277471639690138
woman,3.7217023602638544
ruin,2.8047370592370315
middle,2.6406590740996387
cause,2.8047370592370315
annoying,2.262844199331851
mad,2.6406590740996387
fucked,1.9541469694908666
package,3.8142592685777856
watching,2.6406590740996387
read,2.6406590740996387
bitch,3.8767619906388924
lil,3.8142592685777856
nose,3.8142592685777856
long,1.6931471805599454
mf,3.8142592685777856
mom,2.8047370592370315
food,5.375755568660203
rn,3.8767619906388924
bf,3.8767619906388924
guy,4.35407214432629
depression,2.386294361119891
