processed_tweet,username
 it me,sosadtoday
 i like pic where you cant see my bodi or face,sosadtoday
 brb figur out how to live,sosadtoday
 i like to pretend that if i dont want to have a feel i can just not have it,sosadtoday
 my book rec,sosadtoday
 no i cant justaccept myself as i am ,sosadtoday
 the best is when everyon shut up,sosadtoday
 i alway assum im total fuck just to be safe,sosadtoday
 look in mirror i dont trust you,sosadtoday
 no matter what im do theres a littl voic in my head whisperwhats the point ,sosadtoday
 today is the first day of the rest of my nap,sosadtoday
 want to text someonhi wa just think about your dickbut thats how everi great tragedi begin,sosadtoday
 how do u get vaccin feel confus can someon wake me up when its my turn thx,sosadtoday
 too tire to figur shit out,sosadtoday
 so to make a long stori realli fuck long,sosadtoday
 masturb to a soft pretzel,sosadtoday
milk fed by melissa broder,sosadtoday
 my power sourc is the fear of not be enough,sosadtoday
 im bad at realiti,sosadtoday
 how do you be nice to yourself without think it a lie,sosadtoday
 im alway stare at peopl becaus im just like shock theyre fine with be aliv,sosadtoday
 alway look for evid that i suck,sosadtoday
 hi im the longterm effect of low selfesteem,sosadtoday
 its hard to reach out and tell peopl what im go through becaus then i have to talk to them,sosadtoday
 talk to my dear friend brad listi about a bunch of shit i forget what we talk about,sosadtoday
 horoscop a lot of stuff hurt,sosadtoday
 time not spent nap is a wast,sosadtoday
 judg other is your drug,sosadtoday
tonightmepm pt ,sosadtoday
 i wonder if peopl hate me more or less than i think they do,sosadtoday
 ignor at first sight,sosadtoday
 fear of failur keep me warm at night,sosadtoday
 start to think that feel are just go to keep happen,sosadtoday
 wish my mind could wear a condom,sosadtoday
 i just wanna not feel thi moment,sosadtoday
 i have a crush onpeopl none of them real,sosadtoday
 well everyth remind me of die,sosadtoday
 for the night crowd,sosadtoday
 i built thi hell and now im gonna eat a snack here,sosadtoday
 i want to start a club but like alon,sosadtoday
 feel like soprano get all the love and famili matter doesnt get shit,sosadtoday
 i feel confus,sosadtoday
 whi doe everyon have to make everyth so stupid,sosadtoday
 lie to myself feel like a soft cashmer blanket,sosadtoday
 day me youll be go to bed earli tonight missi night me no,sosadtoday
 hope just doesnt feel safe to me,sosadtoday
 yo tell your mom to buy you my book thx,sosadtoday
 what thi oh it just the pile of shame i carri around,sosadtoday
 no i dont trust myself,sosadtoday
 content warn the insid of my skull,sosadtoday
 im not good at like know whats happen,sosadtoday
 run away from the questionhow are you ,sosadtoday
 i didnt choos the irrat fear the irrat fear chose me,sosadtoday
 can never tell if im fight my demon or just hang out with them,sosadtoday
 i listen to my intuit and it wa stupid,sosadtoday
 my relationship with myself is bad,sosadtoday
 recent studi show that im tire,sosadtoday
 im veri consist im alway paranoid,sosadtoday
 i love comfort myself with compuls behavior,sosadtoday
 my selfesteem wa good forsecond,sosadtoday
 i want to sleep but my phone want to be held,sosadtoday
 my mind is full of terribl idea,sosadtoday
 give up is the best,sosadtoday
 what if i dont have to be a function human be but all thi time i thought i did,sosadtoday
 due to person reason i will be ignor you,sosadtoday
 my ambit is a futil defens mechan against the abyss,sosadtoday
her nonpm tweet lack the cold eye and blister verv of her pm tweetsylvia plath ghost on my tweet,sosadtoday
 dont ask me for shit,sosadtoday
 go away,sosadtoday
 damn i hate everyth,sosadtoday
 whisper dure sex leav me alon,sosadtoday
 i am not heal or whole and its fine,sosadtoday
 life is an annoy journey,sosadtoday
 just thought whi am i suddenli paranoid no one like me but im alway paranoid no one like me,sosadtoday
 ok tomorrow is last onlin event for milk fed itll be good bc is w my dear kristen iskandrian we go way back in oldalt lit worldlol back back when it wa callindi litshe ha her own damn bookstor now ,sosadtoday
 be myself by sleep all the time,sosadtoday
 listen its not my fault i want to sleep through my life,sosadtoday
 no of cours i didnt tell you i have need,sosadtoday
 my instagram is a piec of shit,sosadtoday
 feel sentiment about shit that never happen,sosadtoday
 we need to talk about me go back to sleep,sosadtoday
 myfriend groupis cereal and a dog,sosadtoday
 wish everyth wa as easi as believ my own bullshit,sosadtoday
 talk about the eat disord disord eat element of milk fed with the rad astut content warn uh the whole book basic,sosadtoday
 im a strong independ woman who need constant valid from stranger,sosadtoday
 cant tell if peopl know they are full of shit or have no idea,sosadtoday
 in my head im have sex,sosadtoday
 dont recommend me anyth except a peac death,sosadtoday
shit im do thi week u dont have to leav bed wedpm pt talk to my fav brontez purnel abt hi new bookboyfriend thurpm ct my last milk fed event,sosadtoday
 lone but not for peopl,sosadtoday
 we have a nice time togeth dont we twitter follow,sosadtoday
 i dont like you anymor and its beauti,sosadtoday
 my insomnia will alway be here for me,sosadtoday
 im alway last to know anyth becaus i dont want to,sosadtoday
 cant believ thi life thing is still happen,sosadtoday
 whisper dure sex my mother will never be proud of me,sosadtoday
 thi account suck now but that is the way of all thing,sosadtoday
 milf head,sosadtoday
 milk fed on the today show,sosadtoday
thank you,sosadtoday
 philli onlin tomorrow night ,sosadtoday
 rediscov nothing,sosadtoday
 oh cool societi is still gross,sosadtoday
 what if im just an old piec of bagel,sosadtoday
 review of milk fed,sosadtoday
 listen dont make me regret pretend im fine,sosadtoday
 thi book is good,sosadtoday
 what doe a typic day look like for you i forget all password and make new one,sosadtoday
 dont make me do the emot labor of typehaha ,sosadtoday
 stop peerpressur me to typelol ,sosadtoday
 sometim im scare that inanim object will judg me,sosadtoday
 take shit person as fuck,sosadtoday
 tomorrow night me and one of the onli peopl i like — ryan oconnel — are do a virtual thing at u dont even have to leav your bed regist here,sosadtoday
 selfdestruct in a gentl way,sosadtoday
 listen to jd,sosadtoday
 just relax and think about the die process,sosadtoday
 im not lie to you im lie to myself and share it,sosadtoday
 tire until its time to sleep,sosadtoday
 pleas god no more selfawar,sosadtoday
 excerpt from milk fed,sosadtoday
 excerpt from milk fed,sosadtoday
 me fuck societis beauti standard also me i look disgust,sosadtoday
 i miss the thing that destroy my life befor they destroy my life,sosadtoday
 i be in denial,sosadtoday
 tomorrow night,sosadtoday
 im natur desper,sosadtoday
 greet book club other group ofread human i will zoom into your book club to discuss milk fed idea about life after death and anyth els i can also mail you sign bookplat hmu email in bio,sosadtoday
 i didnt want it to end badli i want them it to end with you be obsess with me,sosadtoday
 thank you for your depth and kind,sosadtoday
 im anxieti,sosadtoday
a thrill examin of hunger desir faith famili and love— time magazin,sosadtoday
 milk fed its not gonna eat itself out now from me,sosadtoday
 milf fed,sosadtoday
 for fun i like to obsess about shit i cant control,sosadtoday
 i like leav,sosadtoday
 my shit come out tuesday,sosadtoday
 me social media is just the last dreg of a dopamin addict also me give me the dreg,sosadtoday
 pretend to be chill so no one know i have need and therefor cant reject them,sosadtoday
 help i cant stop feel,sosadtoday
 you cant make a person love you but you can pretend they do,sosadtoday
 i take the good shit lightli and the bad shit person,sosadtoday
 the world is likehi sorri still turn ,sosadtoday
 how doe life just like keep go,sosadtoday
 i want to be a cloud i think,sosadtoday
 god grant me the energi to go downstair and eat a disgust snack,sosadtoday
 i dont live in bel air but i did have my first orgasm hump a georg jetson doll also i have one new hobbi tetri,sosadtoday
 sorri i cant im busi lose interest in thing i onc found meaning,sosadtoday
 find new way to be not enough,sosadtoday
 i want to live in three moment of my life and delet the rest,sosadtoday
 everyon is sort of blend into a big blur,sosadtoday
 milk fed its not gonna eat itself,sosadtoday
 who play theo,sosadtoday
 the ancient art of blame myself,sosadtoday
i dont take it personi said and took it person,sosadtoday
 im an entrepreneur of way to feel shitti,sosadtoday
 me get selfesteem,sosadtoday
 wa it uncondit love or did i just have no boundari a memoir,sosadtoday
 therapist i can help you me you still use aol,sosadtoday
hi pleas come to these zoom event i am do for my new novel milk fed i will read talk shit and answer question all event are free link to regist are in the thread of tweet repli to thi tweet thank you ,sosadtoday
 two nurs have been found thank you twitter goodnight,sosadtoday
 do i have a follow who is an icu trauma nurs who wld have time to talk for a few min on phone person not for an articl just need an ear some word of wisdom perspect where its not an onduti hurri set youll be do me a great servic lmk ill dm you,sosadtoday
 i feel like an empti well,sosadtoday
 oh great im awak,sosadtoday
 common courtesi,sosadtoday
 ask me how im do is rude,sosadtoday
 im alway the last to know everyth and im glad,sosadtoday
 shoutout to my demon,sosadtoday
 sad tonight,sosadtoday
 mood,sosadtoday
 whatev,sosadtoday
 mental im alway in bed,sosadtoday
 do i like you no do i need you to like me ye,sosadtoday
 ive been awakminut and its alreadi too much,sosadtoday
 call me steven spielberg and thank to for the world premier,sosadtoday
 fear of reject is so cozi,sosadtoday
 i may be selfcent but at least im not judg other,sosadtoday
 so you think you can go a day without overthink,sosadtoday
 i miss when i didnt exist,sosadtoday
 honestli dont know what the hell anyon is talk about,sosadtoday
 horoscop if you think theyre fuck they probabl are,sosadtoday
 got over you but then saw you again,sosadtoday
 everyth is get wors in a bore way,sosadtoday
 the team of imaginari peopl judg me in my head is work overtim today,sosadtoday
 today agenda regret past fear futur,sosadtoday
 can you just give me a powerpoint present on whi you reject me,sosadtoday
 dont ask me how ive been,sosadtoday
 i went in the studio record the audiobook of milk fed the engin had never heard the word clit repeat so mani time also knish anyway it avail from for preorder audibl googl play,sosadtoday
 alreadi stress out about my funer turnout,sosadtoday
